X,Y,Z
41.3362,-78.5052,-0.0292
42.6505,-77.7985,-0.0292
43.9531,-77.0706,-0.0292
45.2431,-76.3204,-0.0292
46.5200,-75.5484,-0.0292
47.7842,-74.7557,-0.0292
49.0347,-73.9415,-0.0292
50.2711,-73.1060,-0.0292
51.4937,-72.2505,-0.0292
52.7016,-71.3743,-0.0292
53.8943,-70.4776,-0.0292
55.0722,-69.5615,-0.0292
56.2343,-68.6255,-0.0292
57.3803,-67.6697,-0.0292
58.5104,-66.6953,-0.0292
59.6239,-65.7019,-0.0292
60.7202,-64.6896,-0.0292
61.7998,-63.6594,-0.0292
62.8618,-62.6112,-0.0292
63.9055,-61.5448,-0.0292
64.9318,-60.4615,-0.0292
65.9396,-59.3611,-0.0292
66.9282,-58.2434,-0.0292
67.8985,-57.1097,-0.0292
68.8496,-55.9599,-0.0292
69.7806,-54.7937,-0.0292
70.6924,-53.6125,-0.0292
71.5844,-52.4162,-0.0292
72.4553,-51.2046,-0.0292
73.3064,-49.9789,-0.0292
74.1370,-48.7392,-0.0292
74.9457,-47.4851,-0.0292
75.7338,-46.2180,-0.0292
76.5009,-44.9381,-0.0292
77.2452,-43.6448,-0.0292
77.9684,-42.3395,-0.0292
78.6701,-41.0226,-0.0292
79.3482,-39.6934,-0.0292
80.0045,-38.3533,-0.0292
80.6388,-37.0026,-0.0292
81.2492,-35.6409,-0.0292
81.8370,-34.2694,-0.0292
82.4023,-32.8884,-0.0292
82.9434,-31.4978,-0.0292
83.4612,-30.0983,-0.0292
83.9560,-28.6905,-0.0292
84.4266,-27.2744,-0.0292
84.8730,-25.8506,-0.0292
85.2961,-24.4196,-0.0292
85.6949,-22.9817,-0.0292
86.0688,-21.5371,-0.0292
86.4190,-20.0866,-0.0292
86.7452,-18.6304,-0.0292
87.0456,-17.1688,-0.0292
87.3220,-15.7024,-0.0292
87.5743,-14.2317,-0.0292
87.8008,-12.7568,-0.0292
88.0027,-11.2783,-0.0292
