t,f
0.20000000000000015, -246.981
0.20100000000000015, 0.0
0.20200000000000015, 0.0
0.20300000000000015, 0.0
0.20400000000000015, 0.0
0.20500000000000015, 1003.15
0.20600000000000016, 81.5638
0.20700000000000016, 0.0
0.20800000000000016, 0.0
0.20900000000000016, 0.0
0.21000000000000016, 0.0
0.21100000000000016, -48.346
0.21200000000000016, 0.0
0.21300000000000016, 338.082
0.21400000000000016, 74.9556
0.21500000000000016, 1775.85
0.21600000000000016, -2894.65
0.21700000000000016, 0.0
0.21800000000000017, 0.0
0.21900000000000017, 0.0
0.22000000000000017, 0.0
0.22100000000000017, 0.0
0.22200000000000017, 134.112
0.22300000000000017, 24.8097
0.22400000000000017, 0.0
0.22500000000000017, 96.0378
0.22600000000000017, 4838.12
0.22700000000000017, 0.0
