X,Y,Z
-77.7539,77.7452,-10.2921
-77.5808,77.3813,-10.5826
-77.0714,76.7267,-11.2120
-77.6143,-77.4303,-10.5379
-77.7452,-77.7539,-10.2921
-77.3813,-77.5808,-10.5826
-76.7267,-77.0714,-11.2120
77.4303,-77.6143,-10.5379
77.7539,-77.7452,-10.2921
77.5808,-77.3813,-10.5826
77.0714,-76.7267,-11.2120
77.0714,0.7733,-11.2120
76.6519,1.1928,-11.7120
77.1947,77.0108,-11.0379
77.3257,77.3343,-10.7921
76.9617,77.1612,-11.0826
76.3072,76.6519,-11.7120
-77.0108,77.1947,-11.0379
-77.3343,77.3257,-10.7921
-77.1612,76.9617,-11.0826
-76.6519,76.3072,-11.7120
-77.1947,-77.0108,-11.0379
-77.3257,-77.3343,-10.7921
-76.9617,-77.1612,-11.0826
-76.3072,-76.6519,-11.7120
77.0108,-77.1947,-11.0379
77.3343,-77.3257,-10.7921
77.1612,-76.9617,-11.0826
76.6519,-76.3072,-11.7120
76.6519,1.1928,-11.7120
76.2323,-0.8876,-12.2120
76.7752,76.5912,-11.5379
76.9061,76.9148,-11.2921
76.5422,76.7417,-11.5826
75.8876,76.2323,-12.2120
-76.5912,76.7752,-11.5379
-76.9148,76.9061,-11.2921
-76.7417,76.5422,-11.5826
-76.2323,75.8876,-12.2120
-76.7752,-76.5912,-11.5379
-76.9061,-76.9148,-11.2921
-76.5422,-76.7417,-11.5826
-75.8876,-76.2323,-12.2120
76.5912,-76.7752,-11.5379
76.9148,-76.9061,-11.2921
76.7417,-76.5422,-11.5826
76.2323,-75.8876,-12.2120
76.2323,-0.8876,-12.2120
75.8128,-0.4681,-12.7120
76.3556,76.1717,-12.0379
76.4866,76.4952,-11.7921
76.1226,76.3221,-12.0826
75.4681,75.8128,-12.7120
-76.1717,76.3556,-12.0379
-76.4952,76.4866,-11.7921
-76.3221,76.1226,-12.0826
-75.8128,75.4681,-12.7120
-76.3556,-76.1717,-12.0379
-76.4866,-76.4952,-11.7921
-76.1226,-76.3221,-12.0826
-75.4681,-75.8128,-12.7120
76.1717,-76.3556,-12.0379
76.4952,-76.4866,-11.7921
76.3221,-76.1226,-12.0826
75.8128,-75.4681,-12.7120
75.8128,-0.4681,-12.7120
75.3932,-0.0485,-13.2120
75.9361,75.7521,-12.5379
76.0670,76.0757,-12.2921
75.7031,75.9026,-12.5826
75.0485,75.3932,-13.2120
-75.7521,75.9361,-12.5379
-76.0757,76.0670,-12.2921
-75.9026,75.7031,-12.5826
-75.3932,75.0485,-13.2120
-75.9361,-75.7521,-12.5379
-76.0670,-76.0757,-12.2921
-75.7031,-75.9026,-12.5826
-75.0485,-75.3932,-13.2120
75.7521,-75.9361,-12.5379
76.0757,-76.0670,-12.2921
75.9026,-75.7031,-12.5826
75.3932,-75.0485,-13.2120
75.3932,-0.0485,-13.2120
74.9737,0.3710,-13.7120
75.5165,75.3326,-13.0379
75.6475,75.6561,-12.7921
75.2835,75.4830,-13.0826
74.6290,74.9737,-13.7120
-75.3326,75.5165,-13.0379
-75.6561,75.6475,-12.7921
-75.4830,75.2835,-13.0826
-74.9737,74.6290,-13.7120
-75.5165,-75.3326,-13.0379
-75.6475,-75.6561,-12.7921
-75.2835,-75.4830,-13.0826
-74.6290,-74.9737,-13.7120
75.3326,-75.5165,-13.0379
75.6561,-75.6475,-12.7921
75.4830,-75.2835,-13.0826
74.9737,-74.6290,-13.7120
74.9737,0.3710,-13.7120
74.5541,0.7906,-14.2120
75.0970,74.9130,-13.5379
75.2279,75.2366,-13.2921
74.8640,75.0635,-13.5826
74.2094,74.5541,-14.2120
-74.9130,75.0970,-13.5379
-75.2366,75.2279,-13.2921
-75.0635,74.8640,-13.5826
-74.5541,74.2094,-14.2120
-75.0970,-74.9130,-13.5379
-75.2279,-75.2366,-13.2921
-74.8640,-75.0635,-13.5826
-74.2094,-74.5541,-14.2120
74.9130,-75.0970,-13.5379
75.2366,-75.2279,-13.2921
75.0635,-74.8640,-13.5826
74.5541,-74.2094,-14.2120
74.5541,0.7906,-14.2120
74.1346,1.2101,-14.7120
74.6774,74.4935,-14.0379
74.8084,74.8170,-13.7921
74.4444,74.6439,-14.0826
73.7899,74.1346,-14.7120
-74.4935,74.6774,-14.0379
-74.8170,74.8084,-13.7921
-74.6439,74.4444,-14.0826
-74.1346,73.7899,-14.7120
-74.6774,-74.4935,-14.0379
-74.8084,-74.8170,-13.7921
-74.4444,-74.6439,-14.0826
-73.7899,-74.1346,-14.7120
74.4935,-74.6774,-14.0379
74.8170,-74.8084,-13.7921
74.6439,-74.4444,-14.0826
74.1346,-73.7899,-14.7120
74.1346,1.2101,-14.7120
73.7150,-0.8703,-15.2120
74.2579,74.0739,-14.5379
74.3888,74.3975,-14.2921
74.0249,74.2244,-14.5826
73.3703,73.7150,-15.2120
-74.0739,74.2579,-14.5379
-74.3975,74.3888,-14.2921
-74.2244,74.0249,-14.5826
-73.7150,73.3703,-15.2120
-74.2579,-74.0739,-14.5379
-74.3888,-74.3975,-14.2921
-74.0249,-74.2244,-14.5826
-73.3703,-73.7150,-15.2120
74.0739,-74.2579,-14.5379
74.3975,-74.3888,-14.2921
74.2244,-74.0249,-14.5826
73.7150,-73.3703,-15.2120
73.7150,-0.8703,-15.2120
73.2955,-0.4508,-15.7120
73.8383,73.6544,-15.0379
73.9693,73.9779,-14.7921
73.6053,73.8048,-15.0826
72.9508,73.2955,-15.7120
-73.6544,73.8383,-15.0379
-73.9779,73.9693,-14.7921
